district,community,date,count
宝山区,爱辉路1018弄,"3月:30; 4月:2,8,9,10",5
宝山区,爱辉路171号,"4月:5,8,9",3
宝山区,爱辉路198号,4月:8,1
宝山区,爱辉路213号,"4月:7,9,10",3
宝山区,爱辉路27弄,"4月:8,9",2
宝山区,爱辉路28弄,"3月:30; 4月:3,8,13",4
宝山区,爱辉路301号,4月:10,1
宝山区,爱辉路319号,"3月:28,30; 4月:9,10",4
宝山区,爱辉路49号,"4月:8,9",2
宝山区,爱辉路61号,"4月:3,5,6",3
宝山区,爱辉路701号,"4月:10,13",2
宝山区,爱辉路721号,4月:10,1
宝山区,安达路241号,4月:13,1
宝山区,安达路253号,"4月:10,13",2
宝山区,安达路301号,4月:13,1
宝山区,安达路5号,"4月:8,9",2
宝山区,安家路165弄,4月:9,1
宝山区,安淞路241号,4月:13,1
宝山区,八字桥村,4月:9,1
宝山区,白沙园路333弄,"4月:5,6,9",3
宝山区,白杨村,"3月:22,26,27,28,29; 4月:2,3,4,5,6,7,8,9,10,11,13",16
宝山区,班溪路24弄,4月:8,1
宝山区,班溪路55弄,"4月:4,11",2
宝山区,宝安公路2145号,3月:26,1
宝山区,宝安公路2163号,4月:10,1
宝山区,宝安公路2195号,3月:24,1
宝山区,宝安公路251号,4月:12,1
宝山区,宝安公路251弄,4月:7,1
宝山区,宝安公路325号,"4月:2,3",2
宝山区,宝安公路332号,4月:8,1
宝山区,宝安公路817号,4月:10,1
宝山区,宝安公路88号,4月:8,1
宝山区,宝城二村,"4月:8,9",2
宝山区,宝城一村,3月:30; 4月:6,2
宝山区,保德路448弄,4月:9,1
宝山区,宝荻路500弄,4月:2,1
宝山区,宝荻路516号,"4月:8,9",2
宝山区,宝荻路535弄,"3月:22,27,28,30; 4月:1,2,8,11",8
宝山区,宝东路41号,"4月:5,8",2
宝山区,宝东路888弄,"4月:3,9,10",3
宝山区,宝钢八村,"4月:5,7,9",3
宝山区,宝钢二村,"4月:3,6,8,9",4
宝山区,宝钢九村,3月:29; 4月:9,2
宝山区,宝钢六村,4月:9,1
宝山区,宝钢七村,"4月:8,9",2
宝山区,宝钢三村,"4月:3,8,9,10,11,12",6
宝山区,宝钢十村,"4月:3,9,10",3
宝山区,宝钢十一村,3月:20; 4月:8,2
宝山区,宝钢四村,"4月:3,9",2
宝山区,宝钢一村,4月:9,1
宝山区,宝菊路133弄,"4月:6,9",2
宝山区,宝菊路22弄,3月:20; 4月:11,2
宝山区,宝菊路377号,4月:8,1
宝山区,宝菊路655号,4月:9,1
宝山区,宝林八村,"3月:30; 4月:3,5,6,8,10",6
宝山区,宝林二村,"4月:3,8",2
宝山区,宝林九村,"4月:5,8",2
宝山区,宝林六村,"3月:29; 4月:2,3,5,6,7,8,9,13",9
宝山区,宝林路277号,"4月:8,9",2
宝山区,宝林路462弄,"4月:4,6",2
宝山区,宝林路50弄,4月:10,1
宝山区,宝林七村,"3月:30; 4月:4,9,13",4
宝山区,宝林三村,"3月:29; 4月:7,9",3
宝山区,宝林四村,"4月:2,5,8,10",4
宝山区,宝林五村,"4月:4,5,9",3
宝山区,宝林一村,3月:28; 4月:9,2
宝山区,宝绿路99弄,3月:24,1
宝山区,宝祁路399号,"3月:28; 4月:2,8,11",4
宝山区,宝祁雅苑北区,3月:21,1
宝山区,宝泉路1号,4月:6,1
宝山区,宝泉路32号,4月:7,1
宝山区,宝山八村,"4月:8,9,10,12",4
宝山区,宝山二村,"3月:27; 4月:8,9",3
宝山区,宝山九村,"4月:5,8,9",3
宝山区,宝山六村,4月:12,1
宝山区,宝山七村,"4月:2,3,8,10",4
宝山区,宝山三村,"4月:6,8,9",3
宝山区,宝山十村,"3月:30; 4月:3,5,8,10",5
宝山区,宝山四村,3月:30,1
宝山区,宝山一村,"4月:6,9,10,13",4
宝山区,宝杨路158号,4月:8,1
宝山区,宝杨路1800号,"4月:6,8",2
宝山区,宝杨路1850号,"4月:6,7,8,9",4
宝山区,宝杨路1900弄,4月:8,1
宝山区,宝杨路1941弄,4月:8,1
宝山区,宝杨路2000号,"4月:7,8,9,10,11",5
宝山区,宝杨路2020号,"4月:8,10",2
宝山区,宝杨路2021弄,4月:3,1
宝山区,宝杨路2024号,4月:10,1
宝山区,宝杨路2035号,4月:3,1
宝山区,宝杨路2040号,4月:10,1
宝山区,宝杨路2050号,"4月:9,10,12,13",4
宝山区,宝杨路2121号,"4月:6,9",2
宝山区,宝杨路258号,4月:9,1
宝山区,宝杨路3084号,3月:26,1
宝山区,宝杨路3088号,4月:8,1
宝山区,宝杨路3090号,4月:8,1
